Position_box,N,Treatment_description,Treatment,Box ,Tube_ID,Sample,Height_cm,Empty_tubes_mg,Filled_tubes_mg,Dry_biomass_mg,Dry_biomass_g,1_verbenone_glucoside_149,Peak_area_1_verbenone_glucoside_mg,2_verbenone_glucoside_149,Peak_area_2_verbenone_glucoside_mg,OH_verbenone_107,Peak_area_OH_verbenone_mg,Date
48,210,apparently resistant,Resistant,3,NX3,44_05_02_02_3,160,1184.56,1324.13,139.57,0.13957,4241913,4116001.36,7841148,4200067.1,335509,273817.29,
49,211,apparently resistant,Resistant,3,NY1,44_03_01_02_1,160,1184.5,1290.2,105.7,0.1057,3818129,3023761.6,3977016,2962796,345496,450042.9,
50,212,apparently resistant,Resistant,3,NY2,44_03_01_02_2,160,1196.31,1339.96,143.65,0.14365,4016354,4247573.2,3994840,4349109.5,347056,252589.05,
51,213,apparently resistant,Resistant,3,NY3,44_03_01_02_3,160,1188.01,1294.75,106.74,0.10674,3369555,3057299.52,3293327,3000787.2,244742,444631.78,
52,214,apparently resistant,Resistant,3,NZ1,44_08_03_02_1,160,1165.58,1344.97,179.39,0.17939,1526949,5400116.72,7117116,5654691.7,735664,66633.83,
53,215,apparently resistant,Resistant,3,NZ2,44_08_03_02_2,160,1165.32,1325.32,160,0.16,976419,4774828,6003173,4946375,581686,167520,
54,216,apparently resistant,Resistant,3,NZ3,44_08_03_02_3,160,1205.84,1367.32,161.48,0.16148,1031488,4822555.04,6417914,5000439.4,425684,159819.56,
55,217,"Dead (beetles dispersed, crown without needles)",Dead,3,PB1,27_06_02_01_1,130,1193.97,1211.1,17.13,0.01713,1918,167556.24,524,-272666.1,263766,910872.61,
56,218,"Dead (beetles dispersed, crown without needles)",Dead,3,PB2,27_06_02_01_2,130,1195.91,1211.16,15.25,0.01525,38913,106930,7591,-341342.5,256242,920654.25,
57,219,"Dead (beetles dispersed, crown without needles)",Dead,3,PB3,27_06_02_01_3,130,1201.61,1227.15,25.54,0.02554,48278,438761.92,15277,34551.2,844907,867115.38,
58,220,"Dead (beetles dispersed, crown without needles)",Dead,3,PC1,27_06_07_01_1,130,1184.46,1251.02,66.56,0.06656,2275,1761574.88,1041,1533011.8,619079,653688.32,
59,221,"Dead (beetles dispersed, crown without needles)",Dead,3,PC2,27_06_07_01_2,130,1197.04,1219.21,22.17,0.02217,85522,330086.16,38477,-88554.9,957318,884649.49,
60,222,"Dead (beetles dispersed, crown without needles)",Dead,3,PC3,27_06_07_01_3,130,1197.12,1212.4,15.28,0.01528,841746,107897.44,427419,-340246.6,115170,920498.16,
61,223,"Dead (beetles dispersed, crown without needles)",Dead,3,PF1,27_06_01_01_1,130,1204.52,1231.8,27.28,0.02728,1140,494873.44,616,98113.4,1005257,858062.16,
62,224,"Dead (beetles dispersed, crown without needles)",Dead,3,PF2,27_06_01_01_2,130,1194.08,1216.17,22.09,0.02209,334,327506.32,213,-91477.3,615797,885065.73,
63,225,"Dead (beetles dispersed, crown without needles)",Dead,3,PF3,27_06_01_01_3,130,1184.41,1197.19,12.78,0.01278,179631,27277.44,68562,-431571.6,760807,933505.66,
64,226,"Dead (beetles dispersed, crown without needles)",Dead,3,PAD1,27_06_05_01_1,130,1204.36,1249.64,45.28,0.04528,2273047,1075337.44,2683447,755653.4,43042,764408.16,
65,227,"Dead (beetles dispersed, crown without needles)",Dead,3,PAD2,27_06_05_01_2,130,1196.87,1248.61,51.74,0.05174,376187,1283659.52,347800,991637.2,1666972,730796.78,
66,228,"Dead (beetles dispersed, crown without needles)",Dead,3,PAD3,27_06_05_01_3,130,1214.07,1293.85,79.78,0.07978,3043871,2187893.44,3794487,2015938.4,90633,584904.66,
67,229,"Dead (beetles dispersed, crown without needles)",Dead,3,PAE1,27_06_08_01_1,130,1206.42,1259.47,53.05,0.05305,1134,1325904.4,1219,1039491.5,190902,723980.85,
68,230,"Dead (beetles dispersed, crown without needles)",Dead,3,PAE2,27_06_08_01_2,130,1210.31,1256.28,45.97,0.04597,1544,1097588.56,2236,780859.1,450295,760818.09,
69,231,"Dead (beetles dispersed, crown without needles)",Dead,3,PAE3,27_06_08_01_3,130,1204.69,1238.46,33.77,0.03377,1020,704162.96,1098,335193.1,110737,824294.69,
70,232,"Dead (beetles dispersed, crown without needles)",Dead,3,PAG1,27_06_06_01_1,130,1214.82,1264.14,49.32,0.04932,3122,1205619.36,4489,903234.6,3628097,743388.04,
71,233,"Dead (beetles dispersed, crown without needles)",Dead,3,PAG2,27_06_06_01_2,130,1203.84,1279.18,75.34,0.07534,35204,2044712.32,61677,1853745.2,6781429,608005.98,
72,234,"Dead (beetles dispersed, crown without needles)",Dead,3,PAG3,27_06_06_01_3,130,1210.49,1251.47,40.98,0.04098,375597,936671.04,396187,598574.4,5601412,786781.06,
73,235,"Dead (beetles dispersed, crown without needles)",Dead,3,PE1,27_06_05_02_1,160,1194.01,1212.48,18.47,0.01847,291,210768.56,276,-223715.9,80461,903900.59,
74,236,"Dead (beetles dispersed, crown without needles)",Dead,3,PE2,27_06_05_02_2,160,1195.74,1222.42,26.68,0.02668,355,475524.64,263,76195.4,84599,861183.96,
75,237,"Dead (beetles dispersed, crown without needles)",Dead,3,PE3,27_06_05_02_3,160,1198.33,1226.89,28.56,0.02856,85,536150.88,20,144871.8,63488,851402.32,
76,238,"Dead (beetles dispersed, crown without needles)",Dead,3,PAC1,27_06_02_02_1,160,1206.03,1228.51,22.48,0.02248,1999,340083.04,291,-77230.6,61398,883036.56,
77,239,"Dead (beetles dispersed, crown without needles)",Dead,3,PAC2,27_06_02_02_2,160,1209.64,1249.51,39.87,0.03987,2342,900875.76,184,558026.1,73278,792556.39,
78,240,"Dead (beetles dispersed, crown without needles)",Dead,3,PAC3,27_06_02_02_3,160,1209.34,1259.75,50.41,0.05041,912,1240769.68,227,943052.3,15876,737716.77,
79,241,"Dead (beetles dispersed, crown without needles)",Dead,3,PAF1,27_06_06_02_1,160,1205.87,1249.56,43.69,0.04369,342,1024063.12,1921,697570.7,4214086,772680.93,
80,242,"Dead (beetles dispersed, crown without needles)",Dead,3,PAF2,27_06_06_02_2,160,1209.41,1240.25,30.84,0.03084,70,609676.32,135,228160.2,590168,839539.48,
81,243,"Dead (beetles dispersed, crown without needles)",Dead,3,PAF3,27_06_06_02_3,160,1203.39,1237.8,34.41,0.03441,40493,724801.68,59180,358572.3,4478511,820964.77,
1,244,"Dead (beetles dispersed, crown without needles)",Dead,4,PAH1,27_06_07_02_1,160,1204.44,1262.41,57.97,0.05797,2014,57085.943,638,134627.907,879044,1106497.751,
2,245,"Dead (beetles dispersed, crown without needles)",Dead,4,PAH2,27_06_07_02_2,160,1212.67,1258.79,46.12,0.04612,1300,88584.428,553,212090.172,611765,1002356.396,
3,246,"Dead (beetles dispersed, crown without needles)",Dead,4,PAH3,27_06_07_02_3,160,1203.07,1246.3,43.23,0.04323,1554,96266.337,449,230981.813,219631,976958.209,
4,247,"Dead (beetles dispersed, crown without needles)",Dead,4,PAI1,27_06_01_02_1,160,1207.62,1279.77,72.15,0.07215,235,19394.085,332,41934.665,964383,1231115.845,
5,248,"Dead (beetles dispersed, crown without needles)",Dead,4,PAI2,27_06_01_02_2,160,1207.93,1244.37,36.44,0.03644,105,114314.836,164,275367.364,553392,917285.652,
6,249,"Dead (beetles dispersed, crown without needles)",Dead,4,PAI3,27_06_01_02_3,160,1203.8,1249.71,45.91,0.04591,87,89142.629,176,213462.921,439940,1000510.853,
7,250,"Dead (beetles dispersed, crown without needles)",Dead,4,PAJ1,27_06_08_02_1,160,1208.54,1253.11,44.57,0.04457,353,92704.483,452,222222.367,169507,988734.531,
8,251,"Dead (beetles dispersed, crown without needles)",Dead,4,PAJ2,27_06_08_02_2,160,1203.44,1241.22,37.78,0.03778,767,110752.982,698,266607.918,311298,929061.974,
9,252,"Dead (beetles dispersed, crown without needles)",Dead,4,PAJ3,27_06_08_02_3,160,1206.68,1237.25,30.57,0.03057,3156,129917.883,2680,313738.967,1024631,865698.331,
10,253,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PS1,27_06_14_01_1,130,1212.69,1295.36,82.67,0.08267,2440,-8569.127,3772,-26833.523,1562636,1323568.761,
11,254,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PS2,27_06_14_01_2,130,1216.49,1275.19,58.7,0.0587,1531,55145.53,3088,129855.97,1615624,1112913.21,
12,255,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PS3,27_06_14_01_3,130,1210.39,1267.9,57.51,0.05751,2018,58308.669,4084,137634.881,1583184,1102455.133,
13,256,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PV1,27_06_18_01_1,130,1211.7,1268.18,56.48,0.05648,331,61046.512,472,144367.888,89672,1093403.184,
14,257,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PV2,27_06_18_01_2,130,1217.08,1266.92,49.84,0.04984,532,78696.296,744,187772.904,325084,1035048.872,
15,258,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PV3,27_06_18_01_3,130,1201.1,1259.87,58.77,0.05877,806,54959.463,1847,129398.387,3519559,1113528.391,
16,259,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PX1,27_06_16_01_1,130,1217.25,1266.63,49.38,0.04938,870,79919.022,907,190779.878,2651748,1031006.254,
17,260,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PX2,27_06_16_01_2,130,1202.81,1257.23,54.42,0.05442,1306,66522.198,5189,157833.902,9086244,1075299.286,
18,261,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PX3,27_06_16_01_3,130,1204.42,1267.48,63.06,0.06306,355,43556.214,353,101355.086,2262040,1151230.198,
19,262,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PY1,27_06_13_01_1,130,1208.97,1258,49.03,0.04903,383,80849.357,95,193067.793,38908,1027930.349,
20,263,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PY2,27_06_13_01_2,130,1210.7,1264.61,53.91,0.05391,171,67877.829,126,161167.721,61505,1070817.253,
21,264,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PY3,27_06_13_01_3,130,1205.44,1260.36,54.92,0.05492,226,65193.148,148,154565.452,78488,1079693.436,
22,265,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAA1,27_06_17_01_1,130,1203.01,1246.8,43.79,0.04379,584,94777.801,4222,227321.149,238965,981879.657,
23,266,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAA2,27_06_17_01_2,130,1209.12,1252.3,43.18,0.04318,1973,96399.242,10245,231308.658,805711,976518.794,
24,267,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAA3,27_06_17_01_3,130,1203.79,1250.54,46.75,0.04675,925,86909.825,5027,207971.925,106190,1007893.025,
25,268,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAB1,27_06_15_01_1,130,1211.78,1252.62,40.84,0.04084,923742,102619.196,2304449,246605.004,32069,955954.172,
26,269,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAB2,27_06_15_01_2,130,1209.32,1261.79,52.47,0.05247,1807390,71705.493,4129130,170580.857,76297,1058162.101,
27,270,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PAB3,27_06_15_01_3,130,1207.61,1249.88,42.27,0.04227,86309,98818.113,245906,237257.237,2739290,968521.441,
28,271,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PQ1,27_06_13_02_1,160,1207.73,1274.23,66.5,0.0665,1331,34412.35,849,78868.15,54317,1181461.95,
29,272,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PQ2,27_06_13_02_2,160,1208.03,1288.02,79.99,0.07999,694,-1445.419,511,-9314.631,84539,1300016.117,
30,273,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PQ3,27_06_13_02_3,160,1203.5,1278.87,75.37,0.07537,681,10835.003,175,20885.847,55581,1259414.171,
31,274,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PR1,27_06_17_02_1,160,1206.35,1259.58,53.23,0.05323,3182,69685.337,12071,165612.813,380321,1064841.209,
32,275,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PR2,27_06_17_02_2,160,1204.01,1245.04,41.03,0.04103,2475,102114.157,10350,245362.993,199817,957623.949,
33,276,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PR3,27_06_17_02_3,160,1210.13,1286.34,76.21,0.07621,4201,8602.199,16392,15394.851,275412,1266796.343,
34,277,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PT1,27_06_16_02_1,160,1210.56,1268.88,58.32,0.05832,1159,56155.608,2568,132339.992,3425640,1109573.656,
35,278,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PT2,27_06_16_02_2,160,1205.75,1266.14,60.39,0.06039,339,50653.341,512,118808.609,595847,1127765.437,
36,279,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PT3,27_06_16_02_3,160,1217.36,1296.21,78.85,0.07885,1118,1584.815,738,-1862.565,948582,1289997.455,
37,280,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PU1,27_06_15_02_1,160,1208.37,1276.03,67.66,0.06766,340,31328.954,1687,71285.346,1037926,1191656.378,
38,281,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PU2,27_06_15_02_2,160,1207.4,1275.68,68.28,0.06828,7236,29680.932,20026,67232.468,4882247,1197105.124,
39,282,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PU3,27_06_15_02_3,160,1209.1,1277,67.9,0.0679,1780,30691.01,4589,69716.49,698598,1193765.57,
40,283,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PW1,27_06_18_02_1,160,1200.79,1234.9,34.11,0.03411,340,120508.209,458,290598.341,48291,896808.913,
41,284,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PW2,27_06_18_02_2,160,1214.8,1282.71,67.91,0.06791,908,30664.429,1069,69651.121,73633,1193853.453,
42,285,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PW3,27_06_18_02_3,160,1211.58,1275.67,64.09,0.06409,1313,40818.371,1636,94622.079,45025,1160282.147,
43,286,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PZ1,27_06_14_02_1,160,1216.44,1280.14,63.7,0.0637,1645,41855.03,3216,97171.47,425399,1156854.71,
44,287,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PZ2,27_06_14_02_2,160,1204.54,1254.86,50.32,0.05032,1471,77420.408,3786,184635.192,791298,1039267.256,
45,288,"Late stage of Ips infestation (Pupae, beetles, but tree crown still green)",Late_stage,4,PZ3,27_06_14_02_3,160,1209.43,1254.78,45.35,0.04535,7467,90631.165,14518,217123.585,2697524,995589.405,
